  18  10 5.78+06 1.63+01 2.48+01 4.12+01 5.82+01 7.96+01 1.14+02 1.45+02 1.78+02
  20  10 3.36+04 1.18-01 1.80-01 3.00-01 4.24-01 5.80-01 8.34-01 1.06+00 1.30+00
  21  10 3.67+05 7.07-01 1.08+00 1.84+00 2.64+00 3.67+00 5.37+00 6.87+00 8.53+00
  22  10 1.58+07 3.92+01 6.02+01 1.03+02 1.48+02 2.06+02 3.03+02 3.89+02 4.84+02
  23  10 1.40+05 1.13-01 1.73-01 2.98-01 4.31-01 6.04-01 8.94-01 1.15+00 1.44+00
  24  10 1.74+04 2.11-02 3.24-02 5.54-02 8.00-02 1.12-01 1.65-01 2.13-01 2.65-01
  25  10 6.79+04 1.17-01 1.79-01 3.04-01 4.37-01 6.06-01 8.88-01 1.14+00 1.42+00
  26  10 2.95+06 2.66+00 4.16+00 7.34+00 1.09+01 1.57+01 2.39+01 3.14+01 3.97+01
  27  10 4.38+05 1.12-01 1.80-01 3.36-01 5.25-01 7.92-01 1.28+00 1.74+00 2.26+00
  29  10 3.81+04 1.80-01 2.52-01 3.75-01 4.63-01 5.31-01 5.86-01 6.10-01 6.26-01
  31  10 1.06+03 8.72-01 1.23+00 1.87+00 2.37+00 2.79+00 3.19+00 3.38+00 3.50+00
  32  10 3.51+03 3.00-03 4.09-03 5.84-03 6.98-03 7.85-03 9.03-03 1.04-02 1.24-02
  33  10 1.49+02 3.49-02 4.93-02 7.52-02 9.52-02 1.12-01 1.28-01 1.35-01 1.39-01
  34  10 4.52+04 2.40+00 3.41+00 5.27+00 6.77+00 8.10+00 9.46+00 1.02+01 1.06+01
  35  10 6.65+03 2.12-03 3.05-03 4.86-03 6.54-03 8.41-03 1.12-02 1.35-02 1.61-02
  44  10 1.22+03 3.09-03 4.29-03 6.44-03 8.01-03 9.22-03 1.02-02 1.07-02 1.11-02
  45  10 6.98+04 1.25-01 1.81-01 2.93-01 3.96-01 5.03-01 6.37-01 7.27-01 8.06-01
  46  10 1.81+04 3.94-02 5.46-02 8.20-02 1.02-01 1.17-01 1.30-01 1.37-01 1.44-01
  51  10 1.79+04 1.51-02 2.23-02 3.75-02 5.25-02 6.90-02 9.04-02 1.05-01 1.18-01
  11   3 1.45+07 2.35+00 3.57+00 6.24+00 9.19+00 1.31+01 1.99+01 2.62+01 3.34+01
  11   5 3.91+05 1.13-01 1.71-01 2.91-01 4.19-01 5.83-01 8.59-01 1.11+00 1.39+00
  17  11 6.48+05 2.30+00 3.44+00 5.54+00 7.61+00 1.01+01 1.41+01 1.75+01 2.12+01
  23  11 9.06+06 1.07+01 1.65+01 2.80+01 4.02+01 5.59+01 8.18+01 1.05+02 1.30+02
  27  11 4.66+05 3.33-01 5.08-01 8.60-01 1.23+00 1.70+00 2.49+00 3.18+00 3.95+00
  29  11 4.71+04 2.07-02 2.81-02 3.95-02 4.67-02 5.26-02 6.19-02 7.31-02 8.92-02
  35  11 1.13+05 7.74-01 1.10+00 1.72+00 2.22+00 2.68+00 3.18+00 3.46+00 3.67+00
  51  11 5.99+04 8.41-03 1.13-02 1.63-02 1.97-02 2.26-02 2.79-02 3.50-02 4.59-02
  12   2 4.08+05 9.18-02 1.39-01 2.45-01 3.62-01 5.20-01 7.94-01 1.05+00 1.34+00
  12   3 7.74+03 1.64-03 2.45-03 4.15-03 5.93-03 8.18-03 1.19-02 1.54-02 1.92-02
  12   4 6.95+07 4.83+00 7.33+00 1.27+01 1.86+01 2.63+01 3.94+01 5.15+01 6.52+01
  12   5 1.38+07 3.69+00 5.59+00 9.61+00 1.39+01 1.95+01 2.90+01 3.76+01 4.73+01
  16  12 1.90+05 2.78-01 4.13-01 6.55-01 8.89-01 1.17+00 1.60+00 1.97+00 2.37+00
  17  12 1.53+05 5.37-01 8.06-01 1.30+00 1.80+00 2.41+00 3.37+00 4.20+00 5.09+00
  18  12 1.43+05 7.21-01 1.08+00 1.76+00 2.44+00 3.27+00 4.59+00 5.73+00 6.96+00
  21  12 2.15+04 9.58-02 1.43-01 2.29-01 3.12-01 4.12-01 5.69-01 7.03-01 8.47-01
  23  12 2.92+04 2.55-02 4.01-02 7.14-02 1.07-01 1.54-01 2.35-01 3.09-01 3.91-01
  24  12 1.84+07 3.13+01 4.81+01 8.20+01 1.18+02 1.65+02 2.43+02 3.12+02 3.88+02
  26  12 9.86+04 1.63-01 2.51-01 4.26-01 6.12-01 8.52-01 1.25+00 1.60+00 1.99+00
  27  12 4.94+06 2.49+00 3.89+00 6.90+00 1.03+01 1.48+01 2.27+01 2.99+01 3.80+01
  28  12 3.30+04 1.00-02 1.43-02 2.22-02 2.90-02 3.60-02 4.55-02 5.29-02 6.05-02
  29  12 9.85+04 4.57-03 6.07-03 8.87-03 1.24-02 1.98-02 4.12-02 6.93-02 1.08-01
  31  12 7.05+03 1.62-02 2.24-02 3.23-02 3.88-02 4.34-02 4.75-02 5.03-02 5.37-02
  33  12 1.36+05 1.02-01 1.50-01 2.49-01 3.45-01 4.56-01 6.22-01 7.59-01 9.01-01
  35  12 1.98+05 2.17-02 3.38-02 6.19-02 9.53-02 1.42-01 2.25-01 3.04-01 3.94-01
  44  12 2.73+02 1.71+00 2.42+00 3.70+00 4.72+00 5.58+00 6.40+00 6.78+00 7.02+00
  45  12 5.76+02 1.29-02 1.80-02 2.73-02 3.43-02 4.00-02 4.50-02 4.71-02 4.83-02
  51  12 7.61+05 3.57-01 5.23-01 8.68-01 1.20+00 1.58+00 2.10+00 2.49+00 2.86+00
  13   2 3.11+06 6.75-01 1.02+00 1.80+00 2.67+00 3.83+00 5.87+00 7.77+00 9.95+00
  13   3 1.33+07 2.03+00 3.09+00 5.40+00 7.98+00 1.14+01 1.74+01 2.29+01 2.92+01
  13   5 4.52+07 1.15+01 1.75+01 3.01+01 4.37+01 6.13+01 9.13+01 1.19+02 1.49+02
  17  13 2.76+05 1.16+00 1.73+00 2.76+00 3.77+00 4.97+00 6.85+00 8.46+00 1.02+01
  18  13 8.55+05 4.70+00 7.05+00 1.14+01 1.58+01 2.11+01 2.95+01 3.67+01 4.45+01
  20  13 7.09+03 5.89-02 8.74-02 1.38-01 1.87-01 2.45-01 3.35-01 4.12-01 4.93-01
  21  13 1.08+03 2.40-03 3.80-03 6.75-03 1.01-02 1.45-02 2.19-02 2.85-02 3.59-02
  22  13 8.89+03 5.22-02 7.80-02 1.26-01 1.72-01 2.29-01 3.18-01 3.95-01 4.77-01
  23  13 1.73+04 3.35-02 5.01-02 8.11-02 1.12-01 1.48-01 2.06-01 2.56-01 3.09-01
  24  13 2.14+06 3.89+00 5.98+00 1.02+01 1.46+01 2.03+01 2.98+01 3.83+01 4.76+01
  25  13 2.06+07 4.91+01 7.55+01 1.29+02 1.86+02 2.59+02 3.81+02 4.90+02 6.10+02
  26  13 1.79+06 3.10+00 4.77+00 8.10+00 1.16+01 1.62+01 2.38+01 3.05+01 3.79+01
